permitID,facility_id,reason,p_name_raw,p_addr_raw,p_zip,p_first,p_last
4079DAD2-BA2E-4129-BB3B-DC967CB9AF9B,12185773,ambiguous:name+num+zip,Epic Poke,6448 E Us 290 Hwy Svrd WB,78752,2026-04-13,2026-04-13
4079DAD2-BA2E-4129-BB3B-DC967CB9AF9B,178820,ambiguous:name+num+zip,Epic Poke,6448 E Us 290 Hwy Svrd WB,78752,2026-04-13,2026-04-13
25DE788F-ED67-4FC8-B6A9-8F0F1C670D62,10771946,ambiguous:name+num+zip,Express Food Mart #5,2925 W Pecan St,78660,2025-04-03,2026-06-05
25DE788F-ED67-4FC8-B6A9-8F0F1C670D62,2803691,ambiguous:name+num+zip,Express Food Mart #5,2925 W Pecan St,78660,2025-04-03,2026-06-05
4CF6DCEB-6E49-4E58-966F-3EA8956A99F4,11872773,ambiguous:name+num+zip,OOB - Pour Choices,401 E 6th St,78701,2025-02-06,2025-02-06
4CF6DCEB-6E49-4E58-966F-3EA8956A99F4,12399735,ambiguous:name+num+zip,OOB - Pour Choices,401 E 6th St,78701,2025-02-06,2025-02-06
68827D7E-90FB-473E-9AF2-F43A75246A3E,10300378,ambiguous:name+num+zip,OOB - Stop-N-Express,5301 Manor Rd,78723,2025-02-04,2025-02-04
68827D7E-90FB-473E-9AF2-F43A75246A3E,12398978,ambiguous:name+num+zip,OOB - Stop-N-Express,5301 Manor Rd,78723,2025-02-04,2025-02-04
5954EA10-7AA2-4B40-A1A4-DE6D590D5D8E,12186654,ambiguous:name+num+zip,PF - Smiling Donuts,428 Grand Avenue Pkwy Ste 130,78660,2025-07-29,2025-07-29
5954EA10-7AA2-4B40-A1A4-DE6D590D5D8E,178926,ambiguous:name+num+zip,PF - Smiling Donuts,428 Grand Avenue Pkwy Ste 130,78660,2025-07-29,2025-07-29
2E75AF7C-0D3A-4BBD-955F-518BF6BE9918,11872773,ambiguous:name+num+zip,Pour Choices,401 E 6th St,78701,2025-07-31,2025-07-31
2E75AF7C-0D3A-4BBD-955F-518BF6BE9918,12399735,ambiguous:name+num+zip,Pour Choices,401 E 6th St,78701,2025-07-31,2025-07-31
991E656E-4282-4327-8FE4-E7AFE1B515AA,12186654,ambiguous:name+num+zip,Smiling Donuts,428 Grand Avenue Pkwy Ste 130,78660,2026-05-20,2026-05-20
991E656E-4282-4327-8FE4-E7AFE1B515AA,178926,ambiguous:name+num+zip,Smiling Donuts,428 Grand Avenue Pkwy Ste 130,78660,2026-05-20,2026-05-20
4E0CDE04-F095-49D6-A4B1-43D78EE8D05A,179030,ambiguous:name+num+zip,St. Michael's Catholic Preparatory School,2500 Wimberly Ln,78735,2026-05-01,2026-05-01
4E0CDE04-F095-49D6-A4B1-43D78EE8D05A,2801307,ambiguous:name+num+zip,St. Michael's Catholic Preparatory School,2500 Wimberly Ln,78735,2026-05-01,2026-05-01
CD044380-7AD2-4071-B573-365274146AA5,10750623,ambiguous:name+num+zip,Tokyo Gardens Catering,2508 E Riverside Dr,78741,2025-02-06,2025-02-06
CD044380-7AD2-4071-B573-365274146AA5,12185895,ambiguous:name+num+zip,Tokyo Gardens Catering,2508 E Riverside Dr,78741,2025-02-06,2025-02-06
4079DAD2-BA2E-4129-BB3B-DC967CB9AF9B,12185773,ambiguous:name+street+zip,Epic Poke,6448 E Us 290 Hwy Svrd WB,78752,2026-04-13,2026-04-13
4079DAD2-BA2E-4129-BB3B-DC967CB9AF9B,178820,ambiguous:name+street+zip,Epic Poke,6448 E Us 290 Hwy Svrd WB,78752,2026-04-13,2026-04-13
25DE788F-ED67-4FC8-B6A9-8F0F1C670D62,10771946,ambiguous:name+street+zip,Express Food Mart #5,2925 W Pecan St,78660,2025-04-03,2026-06-05
25DE788F-ED67-4FC8-B6A9-8F0F1C670D62,2803691,ambiguous:name+street+zip,Express Food Mart #5,2925 W Pecan St,78660,2025-04-03,2026-06-05
4CF6DCEB-6E49-4E58-966F-3EA8956A99F4,11872773,ambiguous:name+street+zip,OOB - Pour Choices,401 E 6th St,78701,2025-02-06,2025-02-06
4CF6DCEB-6E49-4E58-966F-3EA8956A99F4,12399735,ambiguous:name+street+zip,OOB - Pour Choices,401 E 6th St,78701,2025-02-06,2025-02-06
68827D7E-90FB-473E-9AF2-F43A75246A3E,10300378,ambiguous:name+street+zip,OOB - Stop-N-Express,5301 Manor Rd,78723,2025-02-04,2025-02-04
68827D7E-90FB-473E-9AF2-F43A75246A3E,12398978,ambiguous:name+street+zip,OOB - Stop-N-Express,5301 Manor Rd,78723,2025-02-04,2025-02-04
5954EA10-7AA2-4B40-A1A4-DE6D590D5D8E,12186654,ambiguous:name+street+zip,PF - Smiling Donuts,428 Grand Avenue Pkwy Ste 130,78660,2025-07-29,2025-07-29
5954EA10-7AA2-4B40-A1A4-DE6D590D5D8E,178926,ambiguous:name+street+zip,PF - Smiling Donuts,428 Grand Avenue Pkwy Ste 130,78660,2025-07-29,2025-07-29
2E75AF7C-0D3A-4BBD-955F-518BF6BE9918,11872773,ambiguous:name+street+zip,Pour Choices,401 E 6th St,78701,2025-07-31,2025-07-31
2E75AF7C-0D3A-4BBD-955F-518BF6BE9918,12399735,ambiguous:name+street+zip,Pour Choices,401 E 6th St,78701,2025-07-31,2025-07-31
991E656E-4282-4327-8FE4-E7AFE1B515AA,12186654,ambiguous:name+street+zip,Smiling Donuts,428 Grand Avenue Pkwy Ste 130,78660,2026-05-20,2026-05-20
991E656E-4282-4327-8FE4-E7AFE1B515AA,178926,ambiguous:name+street+zip,Smiling Donuts,428 Grand Avenue Pkwy Ste 130,78660,2026-05-20,2026-05-20
4E0CDE04-F095-49D6-A4B1-43D78EE8D05A,179030,ambiguous:name+street+zip,St. Michael's Catholic Preparatory School,2500 Wimberly Ln,78735,2026-05-01,2026-05-01
4E0CDE04-F095-49D6-A4B1-43D78EE8D05A,2801307,ambiguous:name+street+zip,St. Michael's Catholic Preparatory School,2500 Wimberly Ln,78735,2026-05-01,2026-05-01
CD044380-7AD2-4071-B573-365274146AA5,10750623,ambiguous:name+street+zip,Tokyo Gardens Catering,2508 E Riverside Dr,78741,2025-02-06,2025-02-06
CD044380-7AD2-4071-B573-365274146AA5,12185895,ambiguous:name+street+zip,Tokyo Gardens Catering,2508 E Riverside Dr,78741,2025-02-06,2025-02-06
4079DAD2-BA2E-4129-BB3B-DC967CB9AF9B,12185773,ambiguous:name+zip,Epic Poke,6448 E Us 290 Hwy Svrd WB,78752,2026-04-13,2026-04-13
4079DAD2-BA2E-4129-BB3B-DC967CB9AF9B,178820,ambiguous:name+zip,Epic Poke,6448 E Us 290 Hwy Svrd WB,78752,2026-04-13,2026-04-13
25DE788F-ED67-4FC8-B6A9-8F0F1C670D62,10771946,ambiguous:name+zip,Express Food Mart #5,2925 W Pecan St,78660,2025-04-03,2026-06-05
25DE788F-ED67-4FC8-B6A9-8F0F1C670D62,2803691,ambiguous:name+zip,Express Food Mart #5,2925 W Pecan St,78660,2025-04-03,2026-06-05
4CF6DCEB-6E49-4E58-966F-3EA8956A99F4,11872773,ambiguous:name+zip,OOB - Pour Choices,401 E 6th St,78701,2025-02-06,2025-02-06
4CF6DCEB-6E49-4E58-966F-3EA8956A99F4,12399735,ambiguous:name+zip,OOB - Pour Choices,401 E 6th St,78701,2025-02-06,2025-02-06
68827D7E-90FB-473E-9AF2-F43A75246A3E,10300378,ambiguous:name+zip,OOB - Stop-N-Express,5301 Manor Rd,78723,2025-02-04,2025-02-04
68827D7E-90FB-473E-9AF2-F43A75246A3E,12398978,ambiguous:name+zip,OOB - Stop-N-Express,5301 Manor Rd,78723,2025-02-04,2025-02-04
5954EA10-7AA2-4B40-A1A4-DE6D590D5D8E,12186654,ambiguous:name+zip,PF - Smiling Donuts,428 Grand Avenue Pkwy Ste 130,78660,2025-07-29,2025-07-29
5954EA10-7AA2-4B40-A1A4-DE6D590D5D8E,178926,ambiguous:name+zip,PF - Smiling Donuts,428 Grand Avenue Pkwy Ste 130,78660,2025-07-29,2025-07-29
2E75AF7C-0D3A-4BBD-955F-518BF6BE9918,11872773,ambiguous:name+zip,Pour Choices,401 E 6th St,78701,2025-07-31,2025-07-31
2E75AF7C-0D3A-4BBD-955F-518BF6BE9918,12399735,ambiguous:name+zip,Pour Choices,401 E 6th St,78701,2025-07-31,2025-07-31
991E656E-4282-4327-8FE4-E7AFE1B515AA,12186654,ambiguous:name+zip,Smiling Donuts,428 Grand Avenue Pkwy Ste 130,78660,2026-05-20,2026-05-20
991E656E-4282-4327-8FE4-E7AFE1B515AA,178926,ambiguous:name+zip,Smiling Donuts,428 Grand Avenue Pkwy Ste 130,78660,2026-05-20,2026-05-20
4E0CDE04-F095-49D6-A4B1-43D78EE8D05A,179030,ambiguous:name+zip,St. Michael's Catholic Preparatory School,2500 Wimberly Ln,78735,2026-05-01,2026-05-01
4E0CDE04-F095-49D6-A4B1-43D78EE8D05A,2801307,ambiguous:name+zip,St. Michael's Catholic Preparatory School,2500 Wimberly Ln,78735,2026-05-01,2026-05-01
DC0BA246-D568-4674-A4EB-4396F8291907,179030,ambiguous:name+zip,St. Michael's Catholic Preparatory School,3000 Barton Creek Blvd,78735,2026-05-01,2026-05-01
DC0BA246-D568-4674-A4EB-4396F8291907,2801307,ambiguous:name+zip,St. Michael's Catholic Preparatory School,3000 Barton Creek Blvd,78735,2026-05-01,2026-05-01
CD044380-7AD2-4071-B573-365274146AA5,10750623,ambiguous:name+zip,Tokyo Gardens Catering,2508 E Riverside Dr,78741,2025-02-06,2025-02-06
CD044380-7AD2-4071-B573-365274146AA5,12185895,ambiguous:name+zip,Tokyo Gardens Catering,2508 E Riverside Dr,78741,2025-02-06,2025-02-06
D0C3E6B9-067D-4398-BCB8-388D7E45B1CA,NA,no_key_match,ABIA Ruta Maya,3600 Presidential Blvd Ste 110,78719,2025-06-04,2025-06-04
C39F2F67-08DE-4B62-808E-221EEAE1D172,NA,no_key_match,African American Youth Harvest Foundation,6633 E US 290 HWY  SVRD STE 307,78723,2026-04-27,2026-04-27
B7FE5215-FA22-46F0-B8B0-6174622E61CF,NA,no_key_match,"Atlassian, Inc.",1401 E 6th St Bldg 2,78702,2025-07-02,2025-07-02
DBE40264-1796-457B-B58C-9C983280368C,NA,no_key_match,"Atlassian, Inc.",1401 E 6th St Bldg 2,78702,2025-07-02,2025-07-02
8525509C-BD0B-4BB6-99E8-D04489409827,NA,no_key_match,Baylor Scott & White Hospital,5245 W US 290 EB HWY,78735,2025-09-12,2025-09-12
0C866FE7-6826-4413-A863-ABEBE9EE4338,NA,no_key_match,CFO - Abiding Love Food Pantry,7210 Brush Country Rd,78749,2026-04-15,2026-04-15
18556E5C-F379-41C8-881E-50C82B5132EA,NA,no_key_match,CFO - Austin Pathways,6328 Shadow Bnd,78745,2026-03-23,2026-03-23
C9B8DE9E-A1C6-446F-8368-92E8B4CC3F9F,NA,no_key_match,CFO - Foundation Communities - Waterloo Terrace,12190 N Mopac Expy # Sb,78758,2025-12-30,2025-12-30
67CD3675-AED8-44F9-A356-E64F3173DFA8,NA,no_key_match,CFO - Mental Health Mental Retardation Ctr.,13311 Burnet Rd,78727,2026-03-31,2026-03-31
A966E176-8FAA-4A6E-9788-44E762FF1725,NA,no_key_match,COTA - Velocity,9201 Circuit of the Americas Blvd,78617,2025-03-27,2026-03-26
14060948-612B-42F4-A731-B17566EF2778,NA,no_key_match,Canteen @ Tesla F Y37,1 Tesla Rd,78725,2025-03-26,2025-03-26
6E9C48F9-D44F-4024-A516-DC2F9A996006,NA,no_key_match,Canteen Local Branch,6719 E Howard Ln Bldg 2,78754,2026-03-20,2026-03-20
8754564A-B4B8-4A65-98C2-54284AE9F85E,NA,no_key_match,Captain Quackenbush's Coffee House,5326 Menchaca Rd,78745,2026-02-25,2026-02-25
