id...1,version,created_at,updated_at,restaurant_name,zip_code,inspection_date,score,address,facility_id,process_description,score_group,zip_5,full_address,latitude,longitude,id...17,input_address,match_indicator,match_type,matched_address,tiger_line_id,tiger_side
row-qgan-xsgz_7p6x,rv-3gfh-3hxy-5k3x,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,PF - Pflugerville Nursing and Rehabilitation Ctr,78660-2630,2026-05-22,97,104 Rex Kerwin Ct Pflugerville,12392891,Routine Inspection,Green,78660,"104 Rex Kerwin Ct Pflugerville, Austin, TX, 78660",30.443658167688,-97.628710497345,1,"104 Rex Kerwin Ct Pflugerville, Austin, TX, 78660, , , ",Match,Non_Exact,"104 REX KERWIN CT, PFLUGERVILLE, TX, 78660",634973496,L
row-8k4z_jc76-i2cb,rv-5ab6-ywz4.h5vh,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,Blenders and Bowls,78702-3307,2026-05-22,91,1625 E 6th St Austin,11687295,Routine Inspection,Green,78702,"1625 E 6th St Austin, Austin, TX, 78702",30.262834841516,-97.726025494524,2,"1625 E 6th St Austin, Austin, TX, 78702, , , ",Match,Non_Exact,"1625 E 6TH ST, AUSTIN, TX, 78702",63947129,R
row-k52w~c354.pth3,rv-jq59_m2ek.b3sj,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,Jersey Mike's Subs,78751-4857,2026-05-22,96,1000 E 41st St Ste 235 Austin,11250082,Routine Inspection,Green,78751,"1000 E 41st St Ste 235 Austin, Austin, TX, 78751",30.298710536593,-97.720197949461,3,"1000 E 41st St Ste 235 Austin, Austin, TX, 78751, , , ",Match,Non_Exact,"1000 E 41ST ST, AUSTIN, TX, 78751",63945926,L
row-f7xu_3r7d_3gtz,rv-f8pi~4w8z_degt,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,Campsite at Shield Ranch,78738-6008,2026-05-22,100,10417 Crumley Ranch Rd Austin,12396989,Routine Inspection,Green,78738,"10417 Crumley Ranch Rd Austin, Austin, TX, 78738",30.266732335004,-98.02105390258,4,"10417 Crumley Ranch Rd Austin, Austin, TX, 78738, , , ",Match,Non_Exact,"10417 CRUMLEY RANCH RD, AUSTIN, TX, 78738",64122999,L
row-gf8i~v5dk-ib27,rv-7nqc.29yj-jddm,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,K BBQ,78752-3616,2026-05-22,75,6929 Airport Blvd Ste 176 # Bunit Austin,12395545,Routine Inspection,Yellow,78752,"6929 Airport Blvd Ste 176 # Bunit Austin, Austin, TX, 78752",30.335627185138,-97.717652358945,5,"6929 Airport Blvd Ste 176 # Bunit Austin, Austin, TX, 78752, , , ",Match,Non_Exact,"6929 AIRPORT BLVD, AUSTIN, TX, 78752",64052743,R
row-jmai_t9ez-t4mh,rv-usj8~u7ir_x97a,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,Coach Coffee Shop,78758-8700,2026-05-22,94,11401 Century Oaks Ter Ste 121 # Bunit Austin,12401951,Routine Inspection,Green,78758,"11401 Century Oaks Ter Ste 121 # Bunit Austin, Austin, TX, 78758",30.400564690062,-97.726633685008,6,"11401 Century Oaks Ter Ste 121 # Bunit Austin, Austin, TX, 78758, , , ",Match,Non_Exact,"11401 CENTURY OAKS TER, AUSTIN, TX, 78758",620020055,R
row-d2ym~f34m~6cnh,rv-3h92.n5kh_3akr,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,Windsor Nursing & Rehabilitation Center of Duval,78727-6618,2026-05-22,98,5301 Duval Rd Austin,12396981,Routine Inspection,Green,78727,"5301 Duval Rd Austin, Austin, TX, 78727",30.417532906159,-97.742206515308,7,"5301 Duval Rd Austin, Austin, TX, 78727, , , ",Match,Non_Exact,"5301 DUVAL RD, AUSTIN, TX, 78727",655861604,L
row-3y42_4kih-nhu7,rv-5ue4_78vu_uabp,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,"PF - Children's Courtyard, The",78660-1889,2026-05-22,97,1308 Picadilly Dr Pflugerville,12392386,Routine Inspection,Green,78660,"1308 Picadilly Dr Pflugerville, Austin, TX, 78660",30.466776669367,-97.644302675818,8,"1308 Picadilly Dr Pflugerville, Austin, TX, 78660, , , ",Match,Non_Exact,"1308 PICADILLY DR, PFLUGERVILLE, TX, 78660",653235923,L
row-kram.3thq.ifgt,rv-awk5~8e3i~rqfb,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,Sazan Ramen,78752-3615,2026-05-22,81,6929 Airport Blvd Ste 146 Austin,12392619,Routine Inspection,Yellow,78752,"6929 Airport Blvd Ste 146 Austin, Austin, TX, 78752",30.335627185138,-97.717652358945,9,"6929 Airport Blvd Ste 146 Austin, Austin, TX, 78752, , , ",Match,Non_Exact,"6929 AIRPORT BLVD, AUSTIN, TX, 78752",64052743,R
row-edv3.eyek-gq2j,rv-wdyw_xqm7~jcsd,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,Cafe Nenaí,78741-5138,2026-05-22,98,1700 Montopolis Dr Ste A Austin,11643729,Routine Inspection,Green,78741,"1700 Montopolis Dr Ste A Austin, Austin, TX, 78741",30.227264270689,-97.702030470259,10,"1700 Montopolis Dr Ste A Austin, Austin, TX, 78741, , , ",Match,Non_Exact,"1700 MONTOPOLIS DR, AUSTIN, TX, 78741",63949287,R
