query,street_norm,city,zip5,latitude,longitude,source
"104 Rex Kerwin Ct, Pflugerville, TX, 78660",104 Rex Kerwin Ct,Pflugerville,78660,30.443658167688,-97.628710497345,prior
"1625 E 6th St, Austin, TX, 78702",1625 E 6th St,Austin,78702,30.262834841516,-97.726025494524,prior
"1000 E 41st St, Austin, TX, 78751",1000 E 41st St,Austin,78751,30.298710536593,-97.720197949461,prior
"10417 Crumley Ranch Rd, Austin, TX, 78738",10417 Crumley Ranch Rd,Austin,78738,30.266732335004,-98.02105390258,prior
"6929 Airport Blvd Ste 176 #, Austin, TX, 78752",6929 Airport Blvd Ste 176 #,Austin,78752,30.335627185138,-97.717652358945,prior
"11401 Century Oaks Ter Ste 121 #, Austin, TX, 78758",11401 Century Oaks Ter Ste 121 #,Austin,78758,30.400564690062,-97.726633685008,prior
"5301 Duval Rd, Austin, TX, 78727",5301 Duval Rd,Austin,78727,30.417532906159,-97.742206515308,prior
"1308 Picadilly Dr, Pflugerville, TX, 78660",1308 Picadilly Dr,Pflugerville,78660,30.466776669367,-97.644302675818,prior
"6929 Airport Blvd, Austin, TX, 78752",6929 Airport Blvd,Austin,78752,30.335627185138,-97.717652358945,prior
"1700 Montopolis Dr, Austin, TX, 78741",1700 Montopolis Dr,Austin,78741,30.227264270689,-97.702030470259,prior
"14211 W Sh 71, Bee Cave, TX, 78738",14211 W Sh 71,Bee Cave,78738,30.309486673352,-97.963333744026,prior
"1417 E Pfennig Ln, Pflugerville, TX, 78660",1417 E Pfennig Ln,Pflugerville,78660,30.454292835706,-97.610814412518,prior
"1709 E Pflugerville Pkwy, Pflugerville, TX, 78660",1709 E Pflugerville Pkwy,Pflugerville,78660,30.456142717555,-97.606310307769,prior
"105 Rex Kerwin Ct, Pflugerville, TX, 78660",105 Rex Kerwin Ct,Pflugerville,78660,30.443603811067,-97.628593485943,prior
"3311 Esperanza Xing, Austin, TX, 78758",3311 Esperanza Xing,Austin,78758,30.400509976566,-97.72681053687,prior
"5310 Duval Rd, Austin, TX, 78727",5310 Duval Rd,Austin,78727,30.418352070941,-97.743657884894,prior
"821 Gunter St, Austin, TX, 78702",821 Gunter St,Austin,78702,30.259361030684,-97.701511530882,prior
"3700 Adelphi Ln, Austin, TX, 78727",3700 Adelphi Ln,Austin,78727,30.421084943604,-97.714713635911,prior
"5913 La Crosse Ave, Austin, TX, 78739",5913 La Crosse Ave,Austin,78739,30.192229982706,-97.881618594012,prior
"2727 Exposition Blvd, Austin, TX, 78703",2727 Exposition Blvd,Austin,78703,30.303460699949,-97.764298941374,prior
"12413 Tech Ridge Blvd, Austin, TX, 78753",12413 Tech Ridge Blvd,Austin,78753,30.398928545485,-97.669405881735,prior
"1717 E Pflugerville Pkwy, Pflugerville, TX, 78660",1717 E Pflugerville Pkwy,Pflugerville,78660,30.45625184363,-97.605937995248,prior
