id,version,created_at,updated_at,restaurant_name,zip_code,inspection_date,score,address,facility_id,process_description
row-qgan-xsgz_7p6x,rv-3gfh-3hxy-5k3x,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,PF - Pflugerville Nursing and Rehabilitation Ctr,78660-2630,2026-05-22T00:00:00Z,97,104 Rex Kerwin Ct Pflugerville,12392891,Routine Inspection
row-8k4z_jc76-i2cb,rv-5ab6-ywz4.h5vh,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,Blenders and Bowls,78702-3307,2026-05-22T00:00:00Z,91,1625 E 6th St Austin,11687295,Routine Inspection
row-k52w~c354.pth3,rv-jq59_m2ek.b3sj,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,Jersey Mike's Subs,78751-4857,2026-05-22T00:00:00Z,96,1000 E 41st St Ste 235 Austin,11250082,Routine Inspection
row-f7xu_3r7d_3gtz,rv-f8pi~4w8z_degt,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,Campsite at Shield Ranch,78738-6008,2026-05-22T00:00:00Z,100,10417 Crumley Ranch Rd Austin,12396989,Routine Inspection
row-gf8i~v5dk-ib27,rv-7nqc.29yj-jddm,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,K BBQ,78752-3616,2026-05-22T00:00:00Z,75,6929 Airport Blvd Ste 176 # Bunit Austin,12395545,Routine Inspection
row-jmai_t9ez-t4mh,rv-usj8~u7ir_x97a,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,Coach Coffee Shop,78758-8700,2026-05-22T00:00:00Z,94,11401 Century Oaks Ter Ste 121 # Bunit Austin,12401951,Routine Inspection
row-d2ym~f34m~6cnh,rv-3h92.n5kh_3akr,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,Windsor Nursing & Rehabilitation Center of Duval,78727-6618,2026-05-22T00:00:00Z,98,5301 Duval Rd Austin,12396981,Routine Inspection
row-3y42_4kih-nhu7,rv-5ue4_78vu_uabp,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,"PF - Children's Courtyard, The",78660-1889,2026-05-22T00:00:00Z,97,1308 Picadilly Dr Pflugerville,12392386,Routine Inspection
row-kram.3thq.ifgt,rv-awk5~8e3i~rqfb,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,Sazan Ramen,78752-3615,2026-05-22T00:00:00Z,81,6929 Airport Blvd Ste 146 Austin,12392619,Routine Inspection
row-edv3.eyek-gq2j,rv-wdyw_xqm7~jcsd,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,Cafe Nenaí,78741-5138,2026-05-22T00:00:00Z,98,1700 Montopolis Dr Ste A Austin,11643729,Routine Inspection
row-fv96_j43x~4zg8,rv-v3zx-7xgt-esy4,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,BC - Starbucks Coffee #84505,78738,2026-05-22T00:00:00Z,98,14211 W SH 71 BEE CAVE,178300,Routine Inspection
row-mbau~auyj.8gf2,rv-hga9_beap-ibzb,2026-06-15T17:01:20Z,2026-06-15T17:01:20Z,PF - Spanish Oak Assisted Living,78660-2904,2026-05-22T00:00:00Z,92,1417 E Pfennig Ln Pflugerville,12392460,Routine Inspection
