permitID,facility_id,match_method,confidence,n_shared_events,p_name_raw,p_addr_raw,p_city,p_zip,i_name_raw,i_addr_raw,status
A88EAB4C-7EEC-4297-89F0-5B6E71653C19,10179284,name+street+zip,exact,NA,"04 Lounge, The",3808 S Congress Ave,Austin,78704,"04 Lounge, The",3808 S Congress Ave,matched
2C8124E2-04EC-4D48-89C1-0BF5A6311706,12394858,name+street+zip,exact,NA,1 Stop Food Store,5101 Airport Blvd,Austin,78751,1 Stop Food Store,5101 Airport Blvd,matched
8C268953-5806-4C91-83DE-227D0413D5C3,11958735,name+street+zip,exact,NA,11 Degrees Daiquiri,2700 W Pecan St,Pflugerville,78660,11 Degrees Daiquiri,2700 W Pecan St,matched
1859A8CA-3572-4CB7-A48D-6B2862BE9F24,12186463,name+street+zip,exact,NA,"13th Floor, The",711 1/2 Red River St,Austin,78701,"13th Floor, The",711 1/2 Red River St,matched
66D3EB0F-5633-4F29-BD98-B2DEB025E595,2801033,name+street+zip,exact,NA,15th Street Cafe,303 W 15th St,Austin,78701,15th Street Cafe,303 W 15th St,matched
461C8A89-90A2-4CB5-9FC1-F317B395BC18,12185812,name+street+zip,exact,NA,1618 Asian Fusion,1618 E Riverside Dr,Austin,78741,1618 Asian Fusion,1618 E Riverside Dr,matched
E1D54F54-2250-48A6-9D19-02E31675ADCC,11941326,name+street+zip,exact,NA,1st Express,4111 S 1st St,Austin,78745,1st Express,4111 S 1st St,matched
E827244F-A1C4-4CF5-A7F8-3051E9ACCD6B,2802035,name+street+zip,exact,NA,2 Dine 4 Fine Catering,3008 Gonzales St,Austin,78702,2 Dine 4 Fine Catering,3008 Gonzales St,matched
9E6C4CE2-1B0C-4DC9-8187-638663826E61,12394814,name+street+zip,exact,NA,2 N 1 Salad Bar and Grill,901 W Braker Ln,Austin,78758,2 N 1 Salad Bar And Grill,901 W Braker Ln,matched
06F7F98F-FF34-446F-89F8-F9F4EF643B98,2800407,name+street+zip,exact,NA,21st St. College House,707 W 21st St,Austin,78705,21st St. College House,707 W 21st St,matched
EE637D8B-18D1-4A0B-ADCA-AA091D255498,11211426,name+street+zip,exact,NA,2222 Market,1112 W Koenig Ln,Austin,78756,2222 Market,1112 W Koenig Ln,matched
39872161-D169-4177-95D9-80A84BC52AB0,2800411,name+street+zip,exact,NA,24 Diner,600 N Lamar Blvd,Austin,78703,24 Diner,600 N Lamar Blvd,matched
607F58CC-42E9-456B-8FB6-6A2027383528,12393646,name+street+zip,exact,NA,290 Express,9520 Highway 290 W Unit A,Austin,78736,290 Express,9520 Highway 290 W Unit A,matched
F58FC9C6-D37B-40FF-9648-6C1F48DE3F74,10003368,name+street+zip,exact,NA,2nd Street Market,200 San Jacinto Blvd,Austin,78701,2nd Street Market,200 San Jacinto Blvd,matched
54961336-3ED0-4D9A-A0B6-ECD321CF0A8C,12397344,name+street+zip,exact,NA,3 Small Plates Catering,3400 Comsouth Dr,Austin,78744,3 Small Plates Catering,3400 Comsouth Dr,matched
6253E813-DD19-46F4-B1D7-81ABB9A6FAFB,12398814,name+street+zip,exact,NA,"311 Club, The",311 E 6th St,Austin,78701,"311 Club, The",311 E 6th St,matched
8D6E12C9-CA42-4B5F-8880-8E445F74A97E,2801118,name+street+zip,exact,NA,34th Street Cafe,1005 W 34th St,Austin,78705,34th Street Cafe,1005 W 34th St,matched
58A7AA36-9FB4-407D-80FE-59529DD28EBC,10006930,name+street+zip,exact,NA,34th Street Catering,1009 W 34th St,Austin,78705,34th Street Catering,1009 W 34th St,matched
77350ABD-DD34-4082-A23E-62A82292074D,12134961,name+street+zip,exact,NA,3Ten,310 W 2nd St Unit 1A,Austin,78701,3Ten,310 W 2nd St Unit 1A,matched
09D1038B-48A5-4F08-B9F2-D3B049E2662D,10586003,name+street+zip,exact,NA,411 First Floor,404 E 6th St,Austin,78701,411 First Floor,404 E 6th St,matched
7272DFCE-14F5-496A-BEEF-F4F2DE8CEABA,10839037,name+street+zip,exact,NA,413 Bar,413 E 6th St,Austin,78701,413 Bar,413 E 6th St,matched
7B9F144F-8FC1-4122-B45C-267D94EA9A59,12395435,name+street+zip,exact,NA,5 Soul Wine Co.,4514 Bob Wire Rd Bldg 1,Spicewood,78669,5 Soul Wine Co,4514 Bob Wire Rd Bldg 1,matched
F83474D1-B61F-4221-A67E-18A6856F8365,12400974,name+street+zip,exact,NA,512 Boutique Events LLC,3504 E 4th St,Austin,78702,512 Boutique Events LLC,3504 E 4th St,matched
83F68A7A-2B7D-4D4C-9A28-008EEFCF1B97,12392790,name+street+zip,exact,NA,513 Cocktail,513 W 6th St,Austin,78701,513 Cocktail,513 W 6th St,matched
8900A81D-CC19-4DDB-A54C-CF36DF5BA358,11309651,name+street+zip,exact,NA,68 Degrees,2401 Lake Austin Blvd,Austin,78703,68 Degrees,2401 Lake Austin Blvd,matched
75845811-6B42-45C3-9CE4-AA1F7AEB588E,11639640,name+street+zip,exact,NA,7 - Eleven # 23807B,6306 Menchaca Rd,Austin,78745,7 - Eleven # 23807B,6306 Menchaca Rd,matched
33F04F74-7190-4485-8A8B-44D09518438C,11631190,name+street+zip,exact,NA,7 - Eleven # 36641A,3431 W William Cannon Dr,Austin,78745,7 - Eleven # 36641A,3431 W William Cannon Dr,matched
CB0745B4-3149-451E-9A04-74BFDCF1BA00,11789420,name+street+zip,exact,NA,7 - Eleven Convenience Store #25157B,2620 Lake Austin Blvd,Austin,78703,7 - Eleven Convenience Store #25157B,2620 Lake Austin Blvd,matched
830F8659-81A8-4577-B6AB-50E455A437D1,11788013,name+street+zip,exact,NA,7 - Eleven Convenience Store #34253B,15010 FM 1825,Pflugerville,78660,7 - Eleven Convenience Store #34253B,15010 FM 1825,matched
7C998CD2-7D11-4899-9B20-2BAD5EAD05E3,11424489,name+street+zip,exact,NA,7 - Eleven Convenience Store #36600A,1625 E Parmer Ln,Austin,78753,7 - Eleven Convenience Store #36600A,1625 E Parmer Ln,matched
0A2DC015-DFCA-43FD-9C89-FA0311C2F623,12393631,name+street+zip,exact,NA,7 - Eleven Convenience Store #38279A,1429  MUIRFIELD BEND  DR,HUTTO,78634,7 - Eleven Convenience Store #38279A,1429 MUIRFIELD BEND DR,matched
20CE7E69-F9EC-4845-BA5E-E1B221CE98B0,2804068,name+street+zip,exact,NA,7 Days Food Store,1025 W Stassney Ln,Austin,78745,7 Days Food Store,1025 W Stassney Ln,matched
62BEBF3D-50B0-4955-9D18-334995546F44,10886896,name+street+zip,exact,NA,7 Eleven # 32248,14016 N FM 620 SB RD,AUSTIN,78717,7 Eleven # 32248,14016 N FM 620 SB RD,matched
5F3DFD57-3D27-4497-96DA-B5622D36E3F0,10874330,name+street+zip,exact,NA,7 Eleven #36575H,15829 N IH 35 NB SVRD,AUSTIN,78660,7 Eleven #36575H,15829 N IH 35 NB SVRD,matched
