ts,window,start,outcome,n,note
2026-08-03 16:35:32,2025-01-01 to 2025-01-07,0,ok,0,
2026-08-03 16:35:34,2025-01-08 to 2025-01-14,0,ok,0,
2026-08-03 16:35:38,2025-01-15 to 2025-01-21,0,ok,0,
2026-08-03 16:35:43,2025-01-22 to 2025-01-28,0,ok,0,
2026-08-03 16:35:46,2025-01-29 to 2025-02-04,0,ok,25,
2026-08-03 16:35:51,2025-01-29 to 2025-02-04,25,ok,25,
2026-08-03 16:35:55,2025-01-29 to 2025-02-04,50,ok,25,
2026-08-03 16:35:58,2025-01-29 to 2025-02-04,75,ok,17,
2026-08-03 16:36:02,2025-02-05 to 2025-02-11,0,ok,25,
2026-08-03 16:36:07,2025-02-05 to 2025-02-11,25,ok,25,
2026-08-03 16:36:10,2025-02-05 to 2025-02-11,50,ok,25,
2026-08-03 16:36:12,2025-02-05 to 2025-02-11,75,ok,25,
2026-08-03 16:36:18,2025-02-05 to 2025-02-11,100,ok,25,
2026-08-03 16:36:21,2025-02-05 to 2025-02-11,125,ok,25,
2026-08-03 16:36:23,2025-02-05 to 2025-02-11,150,ok,25,
2026-08-03 16:36:28,2025-02-05 to 2025-02-11,175,ok,25,
2026-08-03 16:36:32,2025-02-05 to 2025-02-11,200,ok,25,
2026-08-03 16:36:35,2025-02-05 to 2025-02-11,225,fault,0,object_not_array
2026-08-03 16:37:10,2025-02-05 to 2025-02-11,225,fault,0,object_not_array
2026-08-03 16:38:13,2025-02-05 to 2025-02-11,225,fault,0,object_not_array
2026-08-03 16:40:14,2025-02-05 to 2025-02-11,225,fault,0,object_not_array
2026-08-03 16:40:18,2025-02-12 to 2025-02-18,0,ok,25,
2026-08-03 16:40:21,2025-02-12 to 2025-02-18,25,ok,25,
2026-08-03 16:42:01,2025-02-05 to 2025-02-11,0,ok,25,
2026-08-03 16:42:03,2025-02-05 to 2025-02-11,25,ok,25,
2026-08-03 16:42:06,2025-02-05 to 2025-02-11,50,ok,25,
2026-08-03 16:42:08,2025-02-05 to 2025-02-11,75,ok,25,
2026-08-03 16:42:11,2025-02-05 to 2025-02-11,100,ok,25,
2026-08-03 16:42:13,2025-02-05 to 2025-02-11,125,ok,25,
2026-08-03 16:42:15,2025-02-05 to 2025-02-11,150,ok,25,
2026-08-03 16:42:20,2025-02-05 to 2025-02-11,175,ok,25,
2026-08-03 16:42:23,2025-02-05 to 2025-02-11,200,ok,25,
2026-08-03 16:42:28,2025-02-05 to 2025-02-11,225,end,0,
2026-08-03 16:42:33,2025-02-12 to 2025-02-18,0,ok,25,
2026-08-03 16:42:38,2025-02-12 to 2025-02-18,25,ok,25,
2026-08-03 16:42:42,2025-02-12 to 2025-02-18,50,ok,25,
2026-08-03 16:42:45,2025-02-12 to 2025-02-18,75,ok,25,
2026-08-03 16:42:47,2025-02-12 to 2025-02-18,100,ok,25,
2026-08-03 16:42:50,2025-02-12 to 2025-02-18,125,ok,25,
2026-08-03 16:42:53,2025-02-12 to 2025-02-18,150,ok,25,
2026-08-03 16:42:57,2025-02-12 to 2025-02-18,175,ok,25,
2026-08-03 16:43:02,2025-02-12 to 2025-02-18,200,ok,2,
2026-08-03 16:43:04,2025-02-19 to 2025-02-25,0,ok,25,
2026-08-03 16:43:09,2025-02-19 to 2025-02-25,25,ok,25,
2026-08-03 16:43:14,2025-02-19 to 2025-02-25,50,ok,25,
2026-08-03 16:43:16,2025-02-19 to 2025-02-25,75,ok,25,
2026-08-03 16:43:18,2025-02-19 to 2025-02-25,100,ok,25,
2026-08-03 16:43:23,2025-02-19 to 2025-02-25,125,ok,25,
2026-08-03 16:43:27,2025-02-19 to 2025-02-25,150,ok,25,
2026-08-03 16:43:30,2025-02-19 to 2025-02-25,175,ok,25,
2026-08-03 16:43:33,2025-02-19 to 2025-02-25,200,ok,25,
2026-08-03 16:43:38,2025-02-19 to 2025-02-25,225,end,0,
2026-08-03 16:44:11,2025-02-26 to 2025-03-04,0,ok,25,
2026-08-03 16:44:15,2025-02-26 to 2025-03-04,25,ok,25,
2026-08-03 16:44:17,2025-02-26 to 2025-03-04,50,ok,25,
2026-08-03 16:44:21,2025-02-26 to 2025-03-04,75,ok,25,
2026-08-03 16:44:23,2025-02-26 to 2025-03-04,100,ok,25,
2026-08-03 16:44:28,2025-02-26 to 2025-03-04,125,ok,25,
2026-08-03 16:44:33,2025-02-26 to 2025-03-04,150,ok,25,
2026-08-03 16:44:38,2025-02-26 to 2025-03-04,175,ok,25,
2026-08-03 16:44:42,2025-02-26 to 2025-03-04,200,ok,25,
2026-08-03 16:44:47,2025-02-26 to 2025-03-04,225,end,0,
2026-08-03 16:44:52,2025-03-05 to 2025-03-11,0,ok,25,
2026-08-03 16:44:57,2025-03-05 to 2025-03-11,25,ok,25,
2026-08-03 16:45:00,2025-03-05 to 2025-03-11,50,ok,25,
2026-08-03 16:45:05,2025-03-05 to 2025-03-11,75,ok,25,
2026-08-03 16:45:06,2025-03-05 to 2025-03-11,100,ok,25,
2026-08-03 16:45:11,2025-03-05 to 2025-03-11,125,ok,25,
2026-08-03 16:45:16,2025-03-05 to 2025-03-11,150,ok,25,
2026-08-03 16:45:18,2025-03-05 to 2025-03-11,175,ok,25,
2026-08-03 16:45:21,2025-03-05 to 2025-03-11,200,ok,25,
2026-08-03 16:45:25,2025-03-05 to 2025-03-11,225,end,0,
2026-08-03 16:45:28,2025-03-12 to 2025-03-18,0,ok,25,
2026-08-03 16:45:33,2025-03-12 to 2025-03-18,25,ok,25,
2026-08-03 16:45:39,2025-03-12 to 2025-03-18,50,ok,25,
2026-08-03 16:45:42,2025-03-12 to 2025-03-18,75,ok,25,
2026-08-03 16:45:47,2025-03-12 to 2025-03-18,100,ok,25,
2026-08-03 16:45:51,2025-03-12 to 2025-03-18,125,ok,25,
2026-08-03 16:45:55,2025-03-12 to 2025-03-18,150,ok,25,
2026-08-03 16:45:59,2025-03-12 to 2025-03-18,175,ok,25,
2026-08-03 16:46:02,2025-03-12 to 2025-03-18,200,ok,25,
2026-08-03 16:46:07,2025-03-12 to 2025-03-18,225,end,0,
2026-08-03 16:46:09,2025-03-19 to 2025-03-25,0,ok,25,
2026-08-03 16:46:11,2025-03-19 to 2025-03-25,25,ok,25,
2026-08-03 16:46:15,2025-03-19 to 2025-03-25,50,ok,25,
2026-08-03 16:46:20,2025-03-19 to 2025-03-25,75,ok,25,
2026-08-03 16:46:24,2025-03-19 to 2025-03-25,100,ok,25,
2026-08-03 16:46:29,2025-03-19 to 2025-03-25,125,ok,25,
2026-08-03 16:46:34,2025-03-19 to 2025-03-25,150,ok,25,
2026-08-03 16:46:36,2025-03-19 to 2025-03-25,175,ok,25,
2026-08-03 16:46:40,2025-03-19 to 2025-03-25,200,ok,25,
2026-08-03 16:46:41,2025-03-19 to 2025-03-25,225,end,0,
