facility_id,name,street,city,n,mean_score,min_score,max_score,latest,latest_score,category,venue
2800189,Davis Elementary School,5214 Duval Rd,Austin,6,100,100,100,2026-05-08,100,School & Childcare,Davis Elementary School
2800201,Anderson High School,8403 Mesa Dr,Austin,6,100,100,100,2026-05-11,100,School & Childcare,Anderson High School
2800437,Houston Elementary School,5409 Ponciana Dr,Austin,6,100,100,100,2026-05-06,100,School & Childcare,Houston Elementary School
2800687,Lake Travis High School -ANNEX,3322 S FM 620 Rd,Austin,6,100,100,100,2026-04-17,100,School & Childcare,Lake Travis High School -ANNEX
2801609,Lake Point Elementary School,11801 Sonoma Dr,Bee Cave,6,100,100,100,2026-04-10,100,School & Childcare,Lake Point Elementary School
2801882,Laura Bush Elementary School,12600 Country Trl,Austin,6,100,100,100,2026-05-12,100,School & Childcare,Laura Bush Elementary School
2802502,LW - Lake Travis Elementary School,15303 Kollmeyer Dr,Lakeway,6,100,100,100,2026-04-29,100,School & Childcare,LW - Lake Travis Elementary School
2803046,Whole Foods - Seafood,525 N Lamar Blvd,Austin,4,100,100,100,2026-03-02,100,Grocery,Whole Foods - Seafood
2803202,Costco #641/Bakery,4301 W William Cannon Dr Ste B180,Austin,3,100,100,100,2025-03-20,100,Grocery,Costco
2803212,"Quarries of Hyde Park, The",11400 N Mopac Expy # Sb,Austin,3,100,100,100,2025-11-19,100,Restaurant & Food Service,"Quarries of Hyde Park, The"
2803870,Wal-Mart #1185,1030 Norwood Park Blvd,Austin,3,100,100,100,2026-03-09,100,Grocery,Wal-Mart
10008120,LW - Serene Hills Elementary School,3301 Serene Hills Ct,Lakeway,6,100,100,100,2026-05-08,100,School & Childcare,LW - Serene Hills Elementary School
10260205,Longhorn Village - Memory Support Country Kitchen,12001 Longhorn Pkwy,Austin,3,100,100,100,2025-11-20,100,Healthcare,Longhorn Village - Memory Support Country Kitchen
10276728,River Ridge Elementary - Leander Elementary #23,12900 Tierra Grande Trl,Austin,6,100,100,100,2026-05-12,100,School & Childcare,River Ridge Elementary - Leander Elementary
10326563,Gorzycki Middle School,7412 W Slaughter Ln,Austin,6,100,100,100,2026-05-04,100,School & Childcare,Gorzycki Middle School
10333612,Del Valle ISD- Concession Stand #1 (Home),5201 Ross Rd,Del Valle,3,100,100,100,2026-03-23,100,School & Childcare,Del Valle ISD- Concession Stand #1 (Home)
10333632,Ojeda Middle School Concession Stand,4900 McKinney Falls Pkwy,Austin,4,100,100,100,2026-05-18,100,School & Childcare,Ojeda Middle School Concession Stand
10339477,Ashford Montessori,20301 Jackies Ranch Blvd,Pflugerville,6,100,100,100,2026-05-21,100,School & Childcare,Ashford Montessori
10471799,Nicholson Early Childhood Education Center,12233 FM 620 N,Austin,3,100,100,100,2025-07-21,100,School & Childcare,Nicholson Early Childhood Education Center
10515079,Tokyo Gardens Catering LLC,5808 Burnet Rd,Austin,3,100,100,100,2026-02-06,100,Institutional & Catering,Tokyo Gardens Catering LLC
10529608,Peoples Pharmacy #4,13860 N US 183 Hwy,Austin,3,100,100,100,2026-04-20,100,Convenience & Fuel,Peoples Pharmacy
10743813,Tokyo Gardens Catering,6607 S Ih 35,Austin,3,100,100,100,2025-11-05,100,Institutional & Catering,Tokyo Gardens Catering
10744636,BC - Whole Foods Market - Retail,12601 Hill Country Blvd,Bee Cave,3,100,100,100,2026-05-07,100,Grocery,BC - Whole Foods Market - Retail
10758576,Circle K Store #2704680,8947 FM 2244 Rd,Austin,3,100,100,100,2025-12-19,100,Convenience & Fuel,Circle K Store
10795661,Anita Uphaus Early Childhood Center,5200 Freidrich Ln,Austin,6,100,100,100,2026-05-06,100,School & Childcare,Anita Uphaus Early Childhood Center
10886197,MN - Mini Foods Mart,10400 E US 290 WB Hwy,Manor,3,100,100,100,2025-09-09,100,Convenience & Fuel,MN - Mini Foods Mart
11055564,"Whole Foods Mkt. - Specialty(Cheese, Wine/Beer)",11920 Domain Dr,Austin,3,100,100,100,2025-05-28,100,Grocery,"Whole Foods Mkt. - Specialty(Cheese, Wine"
11119596,See's Candy Shop,10710 Research SB Blvd,Austin,3,100,100,100,2026-05-01,100,Restaurant & Food Service,See's Candy Shop
11166950,West Cypress Hills Elementary School,6112 Cypress Ranch Blvd,Spicewood,6,100,100,100,2026-04-28,100,School & Childcare,West Cypress Hills Elementary School
11383723,Challenger School,13015 Pond Springs Rd,Austin,6,100,100,100,2026-04-10,100,School & Childcare,Challenger School
11430850,LW - Table 620,2000 S FM 620 Rd,Lakeway,3,100,100,100,2025-09-11,100,Restaurant & Food Service,LW - Table
11705232,Ruta Maya Importing Ltd.,6231 E Stassney Ln Bldg 12,Austin,3,100,100,100,2025-11-12,100,Restaurant & Food Service,Ruta Maya Importing Ltd.
11769827,Del Valle ISD Concessions - (Visitor),5201 Ross Rd,Del Valle,3,100,100,100,2026-03-23,100,School & Childcare,Del Valle ISD Concessions - (Visitor)
11787056,Growing Imaginations L.C.,5410 S 1st St,Austin,4,100,100,100,2025-08-18,100,Restaurant & Food Service,Growing Imaginations L.C.
11863874,Canteen @ Costco #681,10401 Research NB Blvd,Austin,3,100,100,100,2026-02-26,100,Institutional & Catering,Canteen @ Costco
12185935,Bee Cave Middle School,5400 Vail Dv,Bee Cave,6,100,100,100,2026-03-03,100,School & Childcare,Bee Cave Middle School
12186565,Advantage Food Sampling @ Whole Foods,11920 Domain Dr,Austin,3,100,100,100,2025-05-28,100,Grocery,Advantage Food Sampling @ Whole Foods
