rank,name,category,street,city,mean_score,n,min_score,max_score,latest_score,latest
1,Ashford Montessori,School & Childcare,20301 Jackies Ranch Blvd,Pflugerville,100,6,100,100,100,2026-05-21
2,Laura Bush Elementary School,School & Childcare,12600 Country Trl,Austin,100,6,100,100,100,2026-05-12
3,River Ridge Elementary - Leander Elementary #23,School & Childcare,12900 Tierra Grande Trl,Austin,100,6,100,100,100,2026-05-12
4,Anderson High School,School & Childcare,8403 Mesa Dr,Austin,100,6,100,100,100,2026-05-11
5,Davis Elementary School,School & Childcare,5214 Duval Rd,Austin,100,6,100,100,100,2026-05-08
6,LW - Serene Hills Elementary School,School & Childcare,3301 Serene Hills Ct,Lakeway,100,6,100,100,100,2026-05-08
7,Houston Elementary School,School & Childcare,5409 Ponciana Dr,Austin,100,6,100,100,100,2026-05-06
8,Anita Uphaus Early Childhood Center,School & Childcare,5200 Freidrich Ln,Austin,100,6,100,100,100,2026-05-06
9,Gorzycki Middle School,School & Childcare,7412 W Slaughter Ln,Austin,100,6,100,100,100,2026-05-04
10,LW - Lake Travis Elementary School,School & Childcare,15303 Kollmeyer Dr,Lakeway,100,6,100,100,100,2026-04-29
