rank,name,category,street,city,mean_score,n,min_score,max_score,latest_score,latest
1,Special Noodle,Restaurant & Food Service,13729 N US 183 Hwy NB,Austin,67.67,3,59,74,70,2026-01-21
2,Hunan Bistro,Restaurant & Food Service,10700 Anderson Mill Rd Ste 105,Austin,69.33,3,66,71,71,2025-12-03
3,Biryani & Co.,Restaurant & Food Service,11150 Research SB Blvd Unit 210A,Austin,70,3,67,73,73,2026-03-12
4,Gang Nam Korean BBQ,Restaurant & Food Service,701 E Stassney Ln Ste C,Austin,70.25,4,63,77,77,2025-10-01
5,India Gate,Restaurant & Food Service,12636 Research SB Blvd Unit 110,Austin,70.75,4,65,77,70,2026-02-12
6,Fruttilandia,Restaurant & Food Service,5200 E William Cannon Dr,Austin,71.33,3,62,78,74,2025-03-13
7,Buffet Palace,Restaurant & Food Service,4608 West Gate Blvd,Austin,71.5,10,57,82,70,2026-04-30
8,LW - Lakeway Market,Restaurant & Food Service,2114 Lakeway Blvd Ste 100,Lakeway,71.6,5,70,74,74,2026-03-02
9,Pho Phi Vietnamese Noodles and Grill,Restaurant & Food Service,1700 W Parmer Ln Ste 610,Austin,71.75,4,68,78,71,2026-04-17
10,Wing Daddy's Sauce House,Restaurant & Food Service,9811 S IH 35,Austin,71.75,4,65,77,77,2025-05-06
